"source_id","brand","name","categories","price","rating","review_count","original_price","web_url","image_urls","variant_count"
"12384","Sephora Collection","Outrageous Curl - Dramatic Volume and Curve Mascara (Mini)","[""Mascara""]","300","3.5","26","1200","https://www.sephora.com.au/products/sephora-collection-outrageous-curl-dramatic-volume-and-curve-mascara-mini","[""https://static-reg.lximg.com/images/pictures/50870/26731_SephoraCollection_WEB.jpg""]","1"
"17323","BECCA","Drenched in Glow Kit (Limited Edition)","[""Face Palettes & Sets"", ""For Her""]","2200","4.5","2","2200","https://www.sephora.com.au/products/becca-drenched-in-glow-kit-limited-edition","[""https://static-reg.lximg.com/images/product_images/1_Product_200136_20BECCA_20Drenched_20In_20Glow_20Kit_20Limited_20Edition_20Default_2317c6a0a70a2c915be7663fcf8601c74152234a_1538980922.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_200136_20BECCA_20Drenched_20In_20Glow_20Kit_20Limited_20Edition_20Default_fb75f025ce67cbfeb518021898fc519169c853f5_1538980925.png""]","1"
"11981","Caudalie","Winter Duo (Limited Edition)","[""Skincare Sets"", ""For Her""]","700","4.5","64","1400","https://www.sephora.com.au/products/caudalie-winter-duo","[""https://static-reg.lximg.com/images/product_images/Caudalie_TDV-Winter-Duo_HL16_WEB_WEB_b893cf9ff4d4bf900b296a5370889ad3654e7fc8_1523777981.png""]","1"
"17132","BECCA","Macaron Glow Kit - Shimmering Skin Perfector™ Pressed Highlighter Mini Set (Limited Edition)","[""Highlighter & Illuminator"", ""Face Palettes & Sets"", ""For Her""]","5700","4.5","28","5700","https://www.sephora.com.au/products/becca-macaron-glow-kit-shimmering-skin-perfector-pressed-highlighter-mini-set-limited-edition","[""https://static-reg.lximg.com/images/product_images/1_Product_200133_20BECCA_20Macaron_20Glow_20Kit_20Shimmering_20Skin_20Perfector_20Pressed_20Highligh_4f40a7071600804d5279dcdb0b8eb69143fcf3df_1538980904.png"", ""https://static-reg.lximg.com/images/product_images/3_Product_200133_20BECCA_20Macaron_20Glow_20Kit_20Shimmering_20Skin_20Perfector_20Pressed_20Highligh_a3842f55de2cf4861c1315c42dba48efc96feead_1538980909.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_200133_20BECCA_20Macaron_20Glow_20Kit_20Shimmering_20Skin_20Perfector_20Pressed_20Highligh_4e1f0e55c5b8a86b5159a694450d9a132475d4e1_1538980906.png"", ""https://static-reg.lximg.com/images/product_images/4_Swatch_200133_20BECCA_20Macaron_20Glow_20Kit_20Shimmering_20Skin_20Perfector_20Pressed_20Highlight_53684da45b35ddd3ea43903096b51241f0d04350_1538980911.png""]","1"
"17258","FRESH","Facial on the Fly Skincare Set (Limited Edition 2018)","[""Skincare Sets"", ""For Her""]","3600","5.0","1","3600","https://www.sephora.com.au/products/fresh-facial-on-the-fly-skincare-set-limited-edition-2018","[""https://static-reg.lximg.com/images/product_images/1_Product_200884_53ebde1315b37f050d8bb91c70a2d263e9f926af_1539782339.png""]","1"
"15137","tarte","Favorites To Glow Color Collection (Limited Edition)","[""Lip Palettes & Sets"", ""For Her"", ""Face Palettes & Sets""]","3700","4.5","20","3700","https://www.sephora.com.au/products/tarte-favorites-to-glow-color-collection-limited-edition","[""https://static-reg.lximg.com/images/product_images/34279_TarteCosmetics_FavoritesToGlowColorCollectionLE_Default_WEB_0817f88dcac8fbf2ca1b358fb98a5a89b43d3b49_1523780044.png"", ""https://static-reg.lximg.com/images/product_images/34279_TarteCosmetics_FavoritesToGlowColorCollectionLE_Default_WEB_2_bdb715b123371c339dc452cbaec3626ee519700e_1523780044.png""]","1"
"13332","tarte","Lash Delights Lash Essentials Kit (Limited Edition)","[""For Her"", ""Eye Palettes & Sets""]","1700","4.5","44","3400","https://www.sephora.com.au/products/tarte-lash-delights-lash-essentials-limited-edition","[""https://static-reg.lximg.com/images/pictures/54942/28760_Tarte_WEB.jpg"", ""https://static-reg.lximg.com/images/pictures/54944/28760_Tarte_WEB_2.jpg""]","1"
"17103","Sephora Collection","Xmas Socks Foot Masks (Limited Edition 2018)","[""For Her"", ""Mask""]","700","5.0","2","700","https://www.sephora.com.au/products/sephora-collection-xmas-socks-foot-masks-limited-edition-2018","[""https://static-reg.lximg.com/images/product_images/1_Product_182212_20Sephora_20Collection_20Xmas_20Socks_20Foot_20Masks_20Limited_20Edition_202018_20A_fb656f51982581a3ada9ece698aa8266dcb0a8bf_1539692986.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_182212_20Sephora_20Collection_20Xmas_20Socks_20Foot_20Masks_20Limited_20Edition_202018_20A_11ad0bb58757610fdb01f0c56ecfb7269e816133_1539692989.png""]","1"
"13890","Sephora Collection","Hair Ties Set (Limited Edition 2017)","[""For Her"", nil]","500","3.5","1","500","https://www.sephora.com.au/products/sephora-collection-hair-ties-set-limited-edition-2017","[""https://static-reg.lximg.com/images/product_images/30302_SPlus_HairTiesSetLimitedEdition2017_WEB_58589db045f11382025595b276918e9b7fc23610_1523778423.png""]","1"
"17104","Sephora Collection","Xmas Gloves Hand Masks (Limited Edition 2018)","[""Mask"", ""For Her""]","700","0.0","0","700","https://www.sephora.com.au/products/sephora-collection-xmas-gloves-hand-masks-limited-edition-2018","[""https://static-reg.lximg.com/images/product_images/1_Product_182213_20Sephora_20Collection_20Xmas_20Gloves_20Hand_20Masks_20Limited_20Edition_202018_20_df4a3068ac5cba94ff88ae85c296c5dbc60ec7d2_1539692991.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_182213_20Sephora_20Collection_20Xmas_20Gloves_20Hand_20Masks_20Limited_20Edition_202018_20_ac74573ff75d35bead3be64dda4e0e5dbc876b9b_1539692994.png""]","1"
